AUTO_ID;MERK;BOUWJAAR;KILOMETER_STAND;VRAAGPRIJS;EXTERIEUR_KLEUR;BRANDSTOF;CARROSSERIEVORM;MODEL
48611029;OPEL;2019;28352;12245;BLAUW;BENZINE;HATCHBACK;CORSA
48611256;OPEL;2013;126616;12900;WIT;BENZINE / ELEKTRICITEIT;HATCHBACK;AMPERA
48612021;VOLKSWAGEN;2017;152064;21900;BLAUW;BENZINE;MPV;TOURAN
48612117;VOLVO;2016;57573;25950;GRIJS;BENZINE;STATIONWAGEN;V60
48612245;PEUGEOT;2016;66188;16845;ZWART;BENZINE;MPV;5008
48612267;VOLVO;2006;399136;3450;GRIJS;DIESEL;STATIONWAGEN;V70
48612531;SUBARU;2020;8;48875;WIT;BENZINE / ELEKTRICITEIT;SUV;XV
48612952;RENAULT;2020;9500;28900;ZWART;DIESEL;BEDRIJFSWAGEN;TRAFIC
48613065;BMW;2015;90714;44950;GRIJS;BENZINE;SUV;X5
48613333;TOYOTA;2013;163019;6450;ZWART;BENZINE;HATCHBACK;YARIS
48613723;TOYOTA;2019;18000;24950;GRIJS;BENZINE / ELEKTRICITEIT;SUV;C-HR
48613851;BMW;2017;108784;36900;GRIJS;DIESEL;SEDAN;5-SERIE
48614182;BMW;2006;159427;13950;ZWART;BENZINE;CABRIOLET;Z4
48614389;SUZUKI;2019;5156;14850;WIT;BENZINE;HATCHBACK;SWIFT
48614594;AUDI;2015;160602;16900;GRIJS;BENZINE / ELEKTRICITEIT;HATCHBACK;A3
48614994;NISSAN;2018;12704;14295;GRIJS;BENZINE;HATCHBACK;MICRA
48615006;PORSCHE;2014;87667;48950;WIT;BENZINE;SUV;MACAN
48615166;HYUNDAI;2019;23526;18640;ZWART;BENZINE;HATCHBACK;I30
48615232;MITSUBISHI;2012;90164;11345;ZWART;BENZINE;SUV;ASX
48615299;MERCEDES-BENZ;2003;149710;7900;BLAUW;BENZINE;COUPE;CLK
48615419;SKODA;2019;21500;32950;GRIJS;BENZINE;STATIONWAGEN;SUPERB
48616069;SKODA;2019;29034;22450;GRIJS;BENZINE;STATIONWAGEN;OCTAVIA
48616073;RENAULT;2007;207212;2245;GRIJS;BENZINE;MPV;SCENIC
48616113;BMW;2020;29787;48695;GRIJS;DIESEL;STATIONWAGEN;3-SERIE
48616255;BMW;2005;256453;4999;GRIJS;BENZINE;SEDAN;3-SERIE
48616303;SKODA;2014;146303;6450;ZWART;BENZINE;HATCHBACK;FABIA
48616972;CITROEN;1949;50147;26000;ZWART;BENZINE;OVERIG;TRACTION AVANT
48617158;MAZDA;2012;191807;12699;GRIJS;BENZINE;SUV;CX-5
48617529;BENTLEY;2012;55419;108900;GRIJS;BENZINE;CABRIOLET;CONTINENTAL GT
48617834;TESLA;2017;57148;55900;ZWART;ELEKTRICITEIT;HATCHBACK;MODEL S
48617982;BMW;2013;175661;12250;GRIJS;DIESEL;SEDAN;3-SERIE
48618105;FORD;2021;10;30500;BLAUW;BENZINE;STATIONWAGEN;FOCUS
48618107;OPEL;2017;44531;18945;ZILVER;BENZINE;STATIONWAGEN;ASTRA
48618124;FORD;2021;10;30500;BLAUW;BENZINE;STATIONWAGEN;FOCUS
48618157;FORD;2021;10;30500;BLAUW;BENZINE;STATIONWAGEN;FOCUS
48618161;FORD;2021;10;30500;BLAUW;BENZINE;STATIONWAGEN;FOCUS
48618235;VOLVO;2019;39097;67945;ZWART;BENZINE;SUV;XC90
48618585;AUDI;2005;470997;2950;GRIJS;DIESEL;STATIONWAGEN;A4
48619049;MERCEDES-BENZ;2011;440191;9950;GRIJS;DIESEL;PERSONENBUS;VITO
48619111;BMW;2021;50;68594;ZWART;BENZINE;STATIONWAGEN;3-SERIE
48619151;SAAB;2006;173030;9450;GRIJS;BENZINE;STATIONWAGEN;9/mrt
48619416;MERCEDES-BENZ;2000;257756;2850;ZWART;BENZINE;CABRIOLET;SLK
48619809;VOLVO;2007;450281;2995;GRIJS;DIESEL;STATIONWAGEN;V70
48621466;MERCEDES-BENZ;2021;15;47900;GRIJS;DIESEL;BEDRIJFSWAGEN;SPRINTER
48622056;OPEL;2016;81385;9950;ZWART;BENZINE;HATCHBACK;CORSA
48622333;SUZUKI;2020;7908;18950;BLAUW;BENZINE;HATCHBACK;SWIFT
48622655;BMW;2020;21850;43950;ZWART;BENZINE;SEDAN;5-SERIE
48622657;BMW;2020;18850;69950;BLAUW;DIESEL;SEDAN;5-SERIE
48623943;VOLKSWAGEN;2016;111094;9500;BLAUW;DIESEL;BEDRIJFSWAGEN;CADDY
48624049;RENAULT;2016;92736;6950;ZILVER;DIESEL;HATCHBACK;CLIO
48624438;OPEL;2021;10;16921;GRIJS;DIESEL;BEDRIJFSWAGEN;COMBO
48624687;MERCEDES-BENZ;2005;286440;4749;GRIJS;BENZINE;STATIONWAGEN;C-KLASSE
48625551;TOYOTA;2003;139601;3250;GRIJS;BENZINE;HATCHBACK;COROLLA
48626496;AUDI;2019;12728;26250;GRIJS;BENZINE;HATCHBACK;A3
48627431;DS;2021;10;66220;WIT;BENZINE / ELEKTRICITEIT;SUV;7 CROSSBACK
48628001;NISSAN;2018;34500;22950;ZWART;ELEKTRICITEIT;HATCHBACK;LEAF
48628247;VOLVO;2020;1;39995;WIT;BENZINE;SUV;XC40
48628504;BMW;2012;161456;16900;BLAUW;BENZINE;SEDAN;3-SERIE
48629005;KIA;2019;30866;23800;GRIJS;BENZINE / ELEKTRICITEIT;SUV;NIRO
48629030;MAZDA;2012;146217;13900;GRIJS;BENZINE;STATIONWAGEN;6
